"STATE","FLOOD_CAUSE","BEGIN_DATE_TIME","END_DATE_TIME"
"West Virginia","Heavy Rain","2020/5/25","2020/5/25"
"Virginia","Heavy Rain","2020/4/13","2020/4/13"
"Ohio","Heavy Rain","2020/3/28","2020/3/28"
"Ohio","Heavy Rain","2020/3/3","2020/3/3"
"Ohio","Heavy Rain","2020/4/13","2020/4/14"
"Puerto Rico","Heavy Rain","2020/1/24","2020/1/24"
"Puerto Rico","Heavy Rain","2020/10/1","2020/10/1"
"Puerto Rico","Heavy Rain","2020/3/10","2020/3/10"
"Puerto Rico","Heavy Rain","2020/3/10","2020/3/11"
"Puerto Rico","Heavy Rain","2020/5/4","2020/5/4"
"Puerto Rico","Heavy Rain","2020/5/26","2020/5/26"
"Virgin Islands","Heavy Rain","2020/11/1","2020/11/1"
"Mississippi","Heavy Rain","2020/4/23","2020/4/23"
"Pennsylvania","Heavy Rain","2020/8/4","2020/8/4"
"Georgia","Heavy Rain","2020/2/6","2020/2/6"
"South Carolina","Heavy Rain","2020/2/6","2020/2/6"
"Hawaii","Heavy Rain","2020/3/16","2020/3/17"
"Ohio","Heavy Rain","2020/4/8","2020/4/8"
"Arizona","Heavy Rain","2020/3/12","2020/3/12"
"California","Heavy Rain","2020/3/12","2020/3/12"
"Arizona","Heavy Rain","2020/3/12","2020/3/13"
"Ohio","Heavy Rain","2020/3/29","2020/3/29"
"New Jersey","Heavy Rain","2020/6/5","2020/6/5"
"Puerto Rico","Heavy Rain","2020/9/9","2020/9/9"
"Hawaii","Heavy Rain","2020/3/15","2020/3/15"
"Louisiana","Heavy Rain","2020/1/11","2020/1/11"
"North Carolina","Heavy Rain","2020/2/6","2020/2/6"
"Mississippi","Heavy Rain","2020/1/11","2020/1/11"
"North Carolina","Heavy Rain","2020/2/6","2020/2/7"
"Puerto Rico","Heavy Rain","2020/9/13","2020/9/13"
"Hawaii","Heavy Rain","2020/3/16","2020/3/16"
"Florida","Heavy Rain","2020/6/2","2020/6/2"
"Mississippi","Dam / Levee Break","2020/2/5","2020/2/5"
"Georgia","Heavy Rain","2020/2/6","2020/2/7"
"Hawaii","Heavy Rain","2020/3/17","2020/3/17"
