"EVENT_ID","LOCATION","LATITUDE","LONGITUDE"
919675,"Emit",35.72,-78.26
919676,"Middlesex",35.82,-78.22
919677,"Rocky Mt Wilson",35.85,-77.91
919679,"Timberlake",36.28,-78.96
919680,"Roseboro",34.94,-78.53
919681,"Clinton Arpt",35.02,-78.31
919682,"Henderson",36.35,-78.41
919683,"North Henderson",36.36,-78.39
919684,"Mc Cullers",35.68,-78.74
919686,"College View",35.77,-78.68
919687,"Cary",35.78,-78.82
919688,"Brookhaven",35.87,-78.67
919689,"Paschall",36.53,-78.19
919690,"Rosewood",35.44,-78.04
919691,"Pinkney",35.55,-78.06
919692,"Moores Xrds",35.59,-78.09
919693,"Dunn Xrds",35.78,-77.94
919694,"Clayton Flowers Arpt",35.62,-78.38
919695,"Dennys Store",36.36,-78.83
919696,"Pearces",35.9,-78.31
919697,"Bynum",35.79,-79.11
919698,"Bynum",35.8,-79.11
919699,"Hope Vly",35.98,-78.96
919700,"Anderson Creek",35.31,-78.99
919701,"Epsom",36.27,-78.34
919702,"Mc Cullers",35.68,-78.69
919703,"Millbrook",35.84,-78.65
919704,"Teer",35.95,-79.23
919705,"Oxford Henderson Arp",36.37,-78.53
919706,"Emit",35.7,-78.3
919707,"Dunn",35.35,-78.56
919709,"Mc Cullers",35.69,-78.74
919710,"Creedmoor",36.08,-78.68
919711,"West Durham",36,-78.91
919712,"Rosewood",35.39,-78.06
919713,"Goldsboro-Wayne",35.47,-77.97
919622,"Healing Spgs",35.62,-80.09
919622,"Healing Spgs",35.6248,-80.0856
919622,"Denton",35.6263,-80.0924
919622,"Healing Spgs",35.6209,-80.0935
919623,"Denton",35.6328,-80.114
919623,"Denton",35.6342,-80.1142
919623,"Denton",35.6343,-80.1122
919623,"Denton",35.633,-80.1114
919624,"Greensboro Rgnl",36.1271,-79.9228
919624,"Greensboro Rgnl",36.1274,-79.927
919624,"Greensboro Rgnl",36.1305,-79.9245
919624,"Greensboro Rgnl",36.1306,-79.9196
919625,"Pomona",36.05,-79.86
919625,"Pomona",36.0491,-79.8602
919625,"Terra Cotta",36.0492,-79.8576
919625,"Terra Cotta",36.0505,-79.8566
919813,"Leesville",35.92,-78.74
922216,"Jonesboro",35.4687,-79.1783
922217,"Southern Pines Arpt",35.229,-79.3972
922218,"Newhill",35.71,-78.96
922219,"Newhill",35.69,-78.93
922221,"Friendship",35.72,-78.92
922222,"Apex",35.74,-78.88
922223,"Friendship",35.71,-78.9
922224,"Friendship",35.73,-78.91
922225,"Upchurch",35.77,-78.86
922226,"Green Level",35.79,-78.92
922227,"Upchurch",35.77,-78.86
922228,"Carpenter",35.8204,-78.8737
922229,"Upchurch",35.79,-78.87
922230,"Upchurch",35.77,-78.86
922231,"Morrisville",35.82,-78.84
922232,"Carpenter",35.82,-78.87
922233,"Morrisville",35.86,-78.85
922234,"Morrisville",35.83,-78.84
922235,"Upchurch",35.78,-78.84
922236,"Morrisville",35.82,-78.83
922237,"Morrisville",35.83,-78.85
920387,"Taos Muni Airport",36.46,-105.67
920558,"Kenosha",42.589,-87.809
920559,"Racine",42.674,-87.026
920560,"Cudahy",43.005,-87.884
928579,"Spring Vly",34.6271,-87.6504
928581,"Tuscumbia",34.7303,-87.693
920762,"Niagara Falls a",43.11,-78.95
920763,"Williamsville",42.94,-78.74
920764,"Griffin Mills",42.71,-78.65
920765,"East Randolph",42.14,-78.91
920766,"Wellsville Tarntne f",42.11,-77.98
920767,"Port Gibson",43.01,-77.19
920768,"Deferiet",44.07,-75.72
920769,"Angola Arpt",42.6373,-78.9689
920770,"Forest Glen",42.72,-78.83
920771,"Tonawanda",43.01,-78.87
920772,"Lake View",42.72,-78.92
920773,"Jamestown West",42.1,-79.26
920775,"Jamestown",42.11,-79.22
920776,"Woodlawn",42.81,-78.85
920777,"Ellicott",42.71,-78.73
920778,"Ebenezer",42.84,-78.75
920779,"Obi",42.09,-78.25
920780,"Williamson",43.22,-77.19
920781,"Marion",43.14,-77.19
920782,"Sodus",43.24,-77.06
920783,"Wolcott",43.22,-76.81
920784,"Red Creek",43.25,-76.72
920785,"Victory",43.2,-76.66
920786,"Conquest",43.12,-76.65
920787,"Ellisburg",43.74,-76.13
885072,"Marydel",39.11,-75.74
885073,"Middletown",39.45,-75.73
885074,"Blackiston",39.26,-75.73
885076,"Centerville",39.82,-75.64
885077,"Centerville",39.81,-75.62
885078,"Middletown",39.45,-75.72
884885,"Church Hill",39.14,-76
884887,"Blythedale",39.6,-76.08
884891,"Bigwoods",39.28,-76.01
884893,"Calvert",39.68,-75.99
884896,"Greensboro",38.97,-75.8
885104,"Garrison Muni Arpt",47.6,-101.42
886039,"Bottineau Arpt",48.84,-100.42
885111,"Linton Muni Arpt",46.17,-100.38
885112,"Strasburg",46.25,-99.91
885113,"Danzig",46.18,-99.48
885114,"Danzig",46.18,-99.35
885115,"Ellendale",46,-98.63
885165,"Ashley",46.1712,-99.1618
885248,"Vermillion",39.79,-96.29
899328,"Frankfort",39.7,-96.42
899329,"Axtell",39.87,-96.26
899330,"Axtell",39.87,-96.25
901259,"Belleville",39.84,-97.63
892123,"Gibsonton",27.85,-82.38
892123,"Gibsonton",27.8497,-82.3778
892123,"Gibsonton",27.8498,-82.3795
892123,"Gibsonton",27.8498,-82.3799
892124,"Lithia",27.85,-82.22
892125,"Oak Knoll",27.49,-82.31
892125,"Oak Knoll",27.4917,-82.3052
892125,"Oak Knoll",27.4951,-82.3086
892125,"Lake Manatee State Park",27.4928,-82.3117
892126,"Thonotosassa",28.06,-82.3
892126,"Thonotosassa",28.0601,-82.2979
892126,"Thonotosassa",28.0587,-82.2978
892126,"Thonotosassa",28.0587,-82.2999
892127,"Lake Panasoffkee",28.77,-82.17
892128,"Linden",28.57,-82.01
892128,"Linden",28.5667,-82.0085
892156,"Clearwater",27.9783,-82.77
892156,"Clearwater",27.99,-82.7631
892157,"Oxford",28.93,-82.08
892157,"Oxford",28.9233,-82.0764
892158,"Sunnyland",27.27,-82.51
892158,"Sunnyland",27.2693,-82.5111
892158,"Sunnyland",27.2693,-82.5097
892158,"Sunnyland",27.2694,-82.5085
892159,"Belspur",27.31,-82.48
892159,"Bee Ridge",27.3083,-82.4814
892159,"Belspur",27.3083,-82.4802
892159,"Belspur",27.3083,-82.4793
892160,"Osprey",27.19,-82.49
892160,"Osprey",27.1895,-82.4901
892160,"Osprey",27.1898,-82.4894
892160,"Osprey",27.19,-82.4888
885405,"Navajo Dam",36.81,-107.65
885408,"Belen",34.65,-106.83
898992,"Lisco",41.56,-102.55
885510,"Sheboygan",43.749,-87.693
885542,"Greentown",40.48,-85.97
885543,"Whitestown",39.97,-86.34
885544,"Cassville",40.54,-86.18
885545,"Tipton",40.28,-86.09
885546,"Greentown",40.48,-85.96
885547,"Greentown",40.48,-85.97
885548,"Sycamore",40.48,-85.92
885549,"Center",40.46,-86.06
885550,"Windfall",40.36,-85.96
885551,"Nevada",40.39,-86.02
885552,"Phlox",40.42,-85.93
885553,"Jerome",40.46,-85.92
885554,"Gaston",40.32,-85.5
885555,"Sharpsville",40.38,-86.08
885533,"New Salem",39.53,-85.34
885535,"Howell Brothers Arpt",39.57,-85.4
885567,"Larchmont Harbor Wxflow",40.9181,-73.7312
885569,"Bayville Wxflow",40.9023,-73.6326
885572,"Norwalk Light Wxflow",41.0767,-73.3837
885577,"Station Kptn6",40.85,-73.7898
885581,"Stamford Harbor",41.002,-73.571
885583,"Eatons Neck Wxflow",40.954,-73.3955
885680,"Point o Woods Wxflow",40.7,-73.2
885689,"Blue Point Wxflow",40.7323,-73.0349
885692,"Warwick",41.2531,-74.3612
885694,"Pleasantville",41.14,-73.78
885697,"Valhalla",41.0795,-73.7731
885699,"Hawthorne",41.1,-73.79
885704,"Holbrook",40.82,-73.08
885708,"Medford",40.8,-73
885717,"Grassy Lick",38.0671,-84.0082
885722,"Sharpsburg",38.1658,-83.9211
885722,"Sharpsburg",38.1898,-83.9124
885725,"Woodstock",37.2596,-84.5169
885725,"Bandy",37.2932,-84.5039
885726,"Norwood",37.1632,-84.6401
885728,"Grade",37.0717,-84.4613
885731,"Wabd",37.3033,-84.4009
885736,"Flemingsburg",38.4072,-83.715
902627,"Charlson",47.9798,-102.5752
893653,"Scenic",43.71,-102.37
893655,"Philip",44.02,-101.93
893656,"Midland",44.17,-101.17
893659,"Parmelee",43.23,-101.2
893660,"Parmelee",43.32,-101.1394
893663,"Harrington",43.01,-101.25
893672,"Camp Crook",45.6436,-103.9246
893673,"Camp Crook",45.65,-103.95
893674,"Ladner",45.69,-103.84
893675,"Ladner",45.83,-103.6885
893677,"Ludlow",45.94,-103.49
893680,"Winner Airport",43.39,-99.84
893684,"Red Elm",45.0545,-101.8089
893685,"Red Elm",45.0102,-101.9603
893686,"Faith Arpt",45.03,-102.02
893687,"St Francis",43.07,-100.81
893688,"Mission",43.06,-100.51
893689,"Mission",43.09,-100.53
893690,"Mission",43.09,-100.53
893695,"Gillette",44.29,-105.5
893696,"Gillette",44.2633,-105.4845
893697,"Gillette",44.2845,-105.4813
893698,"Gillette",44.2755,-105.5
893699,"Gillette",44.2466,-105.5
893700,"Gillette",44.2633,-105.4845
893701,"Wright",43.93,-105.45
893706,"Hot Springs",43.43,-103.4003
893710,"Custer",43.771,-103.573
893715,"Custer",43.77,-103.6
904934,"Custer",43.8,-103.6
904934,"Custer",43.78,-103.51
904934,"Custer",43.73,-103.51
904934,"Custer",43.76,-103.6
893725,"Carter",43.3391,-100.1437
894006,"Earth",34.1802,-102.5455
894011,"Wolfforth",33.4198,-102.0598
894012,"Abernathy",33.8577,-101.7695
894014,"New Home",33.32,-101.92
894015,"Tahoka",33.2201,-101.7601
894016,"Graham Chapel",33.0815,-101.5162
894017,"Brownfield",33.18,-102.28
895979,"Brushy",42.45,-94
895980,"Titonka",43.24,-94.04
895981,"Dakota City",42.73,-94.22
895982,"Dakota City",42.72,-94.2
895983,"Murray",41.04,-93.98
895992,"Evansdale",42.46,-92.28
895993,"Evansdale",42.46,-92.3
895994,"Waterloo",42.49,-92.32
895998,"Iowa Falls Muni Arpt",42.49,-93.26
895999,"Iowa Falls",42.52,-93.27
896005,"Unique",42.69,-94.37
896006,"Dakota City",42.72,-94.21
896007,"Unique",42.72,-94.3
896009,"Dakota City",42.68,-94.21
896010,"Farlin",42.08,-94.48
896011,"Jefferson",42.02,-94.38
896012,"Bouton",41.85,-94.01
896013,"Dallas Center",41.69,-93.96
896014,"Ashawa",41.57,-93.77
