"FATALITY_ID","EVENT_ID","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","FATALITY_MONTH"
42960,953511,2021-06-09,70,"M","Golfing","June"
44786,989138,2021-11-25,NA,"M","Outside/Open Areas","November"
45176,992676,2021-11-07,NA,"","Unknown","November"
45190,993049,2021-11-11,32,"F","Vehicle/Towed Trailer","November"
45191,993049,2021-11-11,11,"M","Vehicle/Towed Trailer","November"
45193,993061,2021-11-29,75,"M","Vehicle/Towed Trailer","November"
45200,993065,2021-11-02,51,"F","In Water","November"
45201,993071,2021-11-09,43,"M","In Water","November"
45202,993071,2021-11-09,46,"M","In Water","November"
45203,993074,2021-11-13,71,"M","In Water","November"
45204,993075,2021-11-16,NA,"M","In Water","November"
44280,977284,2021-06-26,52,"F","Vehicle/Towed Trailer","June"
42583,942568,2021-02-11,NA,"","Vehicle/Towed Trailer","February"
42660,944404,2021-02-16,NA,"","Vehicle/Towed Trailer","February"
42862,946870,2021-03-25,71,"M","Unknown","March"
42863,946870,2021-03-25,71,"F","Unknown","March"
42864,946870,2021-03-25,74,"M","Mobile/Trailer Home","March"
42865,946870,2021-03-25,69,"F","Mobile/Trailer Home","March"
42866,946870,2021-03-25,38,"F","Mobile/Trailer Home","March"
42867,946870,2021-03-25,59,"F","Mobile/Trailer Home","March"
42902,949499,2021-03-27,71,"M","In Water","March"
42903,949500,2021-03-28,62,"M","In Water","March"
44550,972354,2021-09-01,68,"F","Permanent Home","September"
45976,981414,2021-09-01,51,"M","Unknown","September"
45982,981418,2021-09-01,70,"M","Unknown","September"
45983,981418,2021-09-01,65,"M","Unknown","September"
45984,981440,2021-09-01,65,"M","Vehicle/Towed Trailer","September"
45966,985743,2021-09-01,78,"F","Vehicle/Towed Trailer","September"
45967,985743,2021-09-01,25,"M","Vehicle/Towed Trailer","September"
45960,985744,2021-09-01,40,"M","Outside/Open Areas","September"
45961,985744,2021-09-01,31,"M","Outside/Open Areas","September"
45962,985744,2021-09-01,56,"F","Outside/Open Areas","September"
45973,986281,2021-09-01,NA,"","Vehicle/Towed Trailer","September"
45974,986281,2021-09-01,NA,"","Vehicle/Towed Trailer","September"
45975,986281,2021-09-01,46,"F","Vehicle/Towed Trailer","September"
45971,986282,2021-09-01,61,"F","Vehicle/Towed Trailer","September"
45972,986282,2021-09-01,30,"F","Vehicle/Towed Trailer","September"
45956,986283,2021-09-01,77,"M","Unknown","September"
45954,986283,2021-09-01,68,"M","Vehicle/Towed Trailer","September"
45955,986283,2021-09-01,53,"M","Vehicle/Towed Trailer","September"
45957,986283,2021-09-01,25,"M","Vehicle/Towed Trailer","September"
45958,986283,2021-09-01,30,"F","Vehicle/Towed Trailer","September"
45959,986283,2021-09-01,68,"M","Vehicle/Towed Trailer","September"
44784,988099,2021-12-03,NA,"","Vehicle/Towed Trailer","December"
44779,988101,2021-12-03,53,"M","Vehicle/Towed Trailer","December"
46000,998916,2021-12-23,63,"F","Vehicle/Towed Trailer","December"
45998,1004971,2021-12-16,50,"F","Vehicle/Towed Trailer","December"
45999,1004971,2021-12-16,48,"F","Vehicle/Towed Trailer","December"
44091,961837,2021-06-27,NA,"","Unknown","June"
44092,961837,2021-06-27,NA,"","Unknown","June"
44093,961837,2021-06-27,NA,"","Unknown","June"
44094,961837,2021-07-03,70,"M","Unknown","July"
44095,961837,2021-07-04,74,"F","Unknown","July"
44096,961837,2021-07-08,42,"M","Unknown","July"
44097,961837,2021-06-27,47,"M","Unknown","June"
44098,961837,2021-06-28,68,"M","Unknown","June"
44099,961837,2021-06-29,67,"M","Unknown","June"
44100,961837,2021-06-28,73,"F","Unknown","June"
44101,961837,2021-06-26,NA,"M","Unknown","June"
44102,961837,2021-06-28,NA,"","Unknown","June"
44087,961837,2021-06-26,37,"M","In Water","June"
44103,961837,2021-06-29,51,"M","In Water","June"
44086,961837,2021-06-30,38,"M","Outside/Open Areas","June"
45671,964033,2021-07-27,NA,"F","Other","July"
43992,964771,2021-07-05,72,"M","Unknown","July"
44082,965817,2021-07-09,NA,"M","Unknown","July"
44083,965817,2021-07-01,NA,"","Unknown","July"
44084,965817,2021-06-28,NA,"","Unknown","June"
44085,965818,2021-06-27,64,"M","Other","June"
43728,965819,2021-06-27,44,"M","In Water","June"
43989,965820,2021-06-29,NA,"F","Unknown","June"
43990,965820,2021-07-05,NA,"F","Unknown","July"
44104,965929,2021-06-30,10,"F","In Water","June"
43729,965965,2021-06-28,48,"F","In Water","June"
43338,968238,2021-07-28,85,"M","Permanent Home","July"
43993,970023,2021-06-29,59,"F","Unknown","June"
43994,970023,2021-07-01,NA,"M","Unknown","July"
44284,972552,2021-08-01,56,"M","Outside/Open Areas","August"
44281,978377,2021-08-11,55,"F","Mobile/Trailer Home","August"
44361,980438,2021-08-22,19,"M","In Water","August"
44362,980582,2021-08-22,16,"M","In Water","August"
44380,981000,2021-08-11,22,"M","In Water","August"
44381,981001,2021-08-11,22,"F","In Water","August"
44384,981002,2021-08-14,61,"M","In Water","August"
44768,981003,2021-08-11,NA,"","Unknown","August"
44769,981003,2021-08-11,NA,"","Unknown","August"
44770,981003,2021-08-11,NA,"","Unknown","August"
45260,992153,2021-11-06,NA,"M","Outside/Open Areas","November"
45259,992154,2021-11-06,14,"M","Under Tree","November"
45669,961309,2021-07-20,31,"M","Other","July"
44680,961302,2021-06-30,67,"M","Unknown","June"
44692,961302,2021-06-29,NA,"F","Unknown","June"
44704,961302,2021-06-29,NA,"F","Unknown","June"
44716,961302,2021-06-30,49,"F","Unknown","June"
44728,961302,2021-07-02,NA,"M","Unknown","July"
44740,961302,2021-07-13,NA,"M","Unknown","July"
44752,961302,2021-06-30,79,"F","Unknown","June"
44764,961302,2021-06-28,NA,"","Unknown","June"
44695,961302,2021-06-29,68,"F","Unknown","June"
44730,961302,2021-07-02,NA,"M","Unknown","July"
44762,961302,2021-06-28,NA,"","Unknown","June"
42156,930321,2021-01-25,36,"M","Vehicle/Towed Trailer","January"
42475,938139,2021-02-20,19,"M","Outside/Open Areas","February"
42611,940657,2021-02-11,84,"M","Vehicle/Towed Trailer","February"
42609,941809,2021-02-11,NA,"","Unknown","February"
44717,961302,2021-06-30,72,"F","Unknown","June"
44718,961302,2021-06-30,77,"M","Unknown","June"
44719,961302,2021-06-30,62,"M","Unknown","June"
44720,961302,2021-06-30,79,"M","Unknown","June"
42870,946439,2021-02-14,57,"M","Vehicle/Towed Trailer","February"
42884,949715,2021-02-01,84,"M","Permanent Home","February"
42885,949715,2021-02-03,90,"F","Permanent Home","February"
42886,949715,2021-02-09,53,"M","Permanent Home","February"
42887,949715,2021-02-09,84,"M","Permanent Home","February"
42888,949715,2021-02-13,71,"M","Permanent Home","February"
42889,949715,2021-02-13,67,"F","Permanent Home","February"
42890,949715,2021-02-16,63,"M","Permanent Home","February"
42922,951833,2021-02-15,NA,"","Unknown","February"
42925,951834,2021-02-15,NA,"","Unknown","February"
44675,961302,2021-06-28,84,"M","Unknown","June"
44676,961302,2021-06-29,69,"M","Unknown","June"
44677,961302,2021-06-29,69,"F","Unknown","June"
44678,961302,2021-06-29,64,"F","Unknown","June"
44679,961302,2021-06-30,82,"M","Unknown","June"
44681,961302,2021-07-04,83,"F","Unknown","July"
44682,961302,2021-06-28,90,"F","Unknown","June"
44683,961302,2021-06-28,NA,"M","Unknown","June"
44684,961302,2021-06-28,NA,"F","Unknown","June"
44685,961302,2021-06-28,67,"F","Unknown","June"
44686,961302,2021-06-28,79,"F","Unknown","June"
44687,961302,2021-06-28,NA,"M","Unknown","June"
44688,961302,2021-06-28,NA,"M","Unknown","June"
44689,961302,2021-06-28,NA,"F","Unknown","June"
44690,961302,2021-06-28,NA,"M","Unknown","June"
44691,961302,2021-06-28,83,"M","Unknown","June"
44693,961302,2021-06-29,60,"F","Unknown","June"
44694,961302,2021-06-29,69,"M","Unknown","June"
44696,961302,2021-06-29,80,"F","Unknown","June"
44697,961302,2021-06-29,68,"M","Unknown","June"
44698,961302,2021-06-29,NA,"M","Unknown","June"
44699,961302,2021-06-29,NA,"M","Unknown","June"
44700,961302,2021-06-29,NA,"M","Unknown","June"
44701,961302,2021-06-29,72,"F","Unknown","June"
44702,961302,2021-06-29,90,"F","Unknown","June"
44703,961302,2021-06-29,NA,"M","Unknown","June"
44705,961302,2021-06-29,NA,"M","Unknown","June"
44706,961302,2021-06-29,NA,"M","Unknown","June"
44707,961302,2021-06-29,NA,"M","Unknown","June"
44708,961302,2021-06-29,69,"M","Unknown","June"
44709,961302,2021-06-29,57,"F","Unknown","June"
44710,961302,2021-06-29,NA,"F","Unknown","June"
44711,961302,2021-06-29,NA,"M","Unknown","June"
44712,961302,2021-06-28,97,"F","Unknown","June"
44713,961302,2021-06-30,82,"F","Unknown","June"
44714,961302,2021-06-30,NA,"F","Unknown","June"
44715,961302,2021-06-30,NA,"M","Unknown","June"
45409,994868,2021-06-19,24,"M","Mobile/Trailer Home","June"
45410,994868,2021-06-19,3,"M","Mobile/Trailer Home","June"
45429,995901,2021-04-13,63,"M","Other","April"
45430,995901,2021-04-13,69,"M","Other","April"
45431,995901,2021-04-13,53,"M","Other","April"
45432,995901,2021-04-13,55,"M","Other","April"
45433,995901,2021-04-13,36,"M","Other","April"
45434,995901,2021-04-13,30,"M","Other","April"
45435,995901,2021-04-13,NA,"M","Other","April"
45436,995901,2021-04-13,31,"M","Other","April"
45437,995901,2021-04-13,37,"M","Other","April"
45438,995901,2021-04-13,62,"M","Other","April"
45439,995901,2021-04-13,NA,"M","Other","April"
45440,995901,2021-04-13,NA,"M","Other","April"
45441,995901,2021-04-13,NA,"M","Other","April"
44263,937289,2021-01-13,NA,"","Vehicle/Towed Trailer","January"
44265,938508,2021-01-13,NA,"","Vehicle/Towed Trailer","January"
44129,945569,2021-02-15,79,"M","Permanent Home","February"
44130,945569,2021-02-15,73,"F","Permanent Home","February"
44131,945569,2021-02-15,72,"M","Permanent Home","February"
44120,952642,2021-05-30,47,"F","Vehicle/Towed Trailer","May"
43225,963303,2021-05-16,15,"F","In Water","May"
43233,964010,2021-05-23,18,"M","In Water","May"
43345,968866,2021-06-28,NA,"","Outside/Open Areas","June"
43346,968866,2021-06-28,NA,"","Outside/Open Areas","June"
44271,969166,2021-06-29,73,"F","Unknown","June"
44272,969166,2021-06-29,71,"F","Unknown","June"
43365,969213,2021-06-19,23,"F","In Water","June"
44178,975093,2021-05-22,60,"F","In Water","May"
44721,961302,2021-06-30,NA,"M","Unknown","June"
44722,961302,2021-06-28,NA,"F","Unknown","June"
44723,961302,2021-07-01,74,"M","Unknown","July"
44724,961302,2021-07-01,NA,"M","Unknown","July"
44725,961302,2021-07-01,73,"M","Unknown","July"
44726,961302,2021-07-01,NA,"M","Unknown","July"
44727,961302,2021-07-01,63,"M","Unknown","July"
44729,961302,2021-07-02,67,"M","Unknown","July"
44731,961302,2021-07-02,72,"F","Unknown","July"
44732,961302,2021-07-02,NA,"M","Unknown","July"
44733,961302,2021-07-04,NA,"F","Unknown","July"
44734,961302,2021-07-06,NA,"M","Unknown","July"
44735,961302,2021-07-07,NA,"M","Unknown","July"
44736,961302,2021-06-30,NA,"F","Unknown","June"
44737,961302,2021-07-11,NA,"M","Unknown","July"
