disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp
3601,NA,NA,NA,NA,NA,NA,NA,NA
3602,NA,NA,NA,NA,NA,NA,NA,NA
1239,NA,NA,NA,NA,8225378.98,4219882.47,3961713.95,3887494
1257,NA,NA,NA,NA,33279674.22,9756691.41,23183628.92,18906913
1260,NA,NA,NA,NA,9863594,3896685.75,5833055.72,1875688
1261,NA,NA,NA,NA,5735788.21,2349946.79,3385841.42,1096729
1262,NA,NA,NA,NA,15377362.84,4437805.23,10793815.08,1494499
1264,NA,NA,NA,NA,3033110.28,882780.99,2135164.26,915473
1265,NA,NA,NA,NA,6970269.48,2590192.47,4349918.09,1319820
1266,NA,NA,NA,NA,7265330.4,4572203.46,2603875.52,3634575
1268,NA,NA,NA,NA,721979.29,43929.52,655398.71,120352
1269,NA,NA,NA,NA,1737569.4,898066.5,810242.78,1037030
1271,NA,NA,NA,NA,1868757.98,1691960.54,176797.44,495343
1272,NA,NA,NA,NA,40588743.22,29892462.64,10342694.45,12665798
1273,NA,NA,NA,NA,3144097.57,2597610.34,546487.23,1764725
1274,NA,NA,NA,NA,1525086.7,1060865.15,587622.94,778869
1275,NA,NA,NA,NA,5322523.58,2426827.39,2821849.55,853245
1276,NA,NA,NA,NA,5242416.68,546984.2,4587872.59,1158596
1277,NA,NA,NA,NA,8534710.43,1862546.18,6422742.96,2449736
1278,NA,NA,NA,NA,501235.42,20563.57,469397.28,113954
1279,NA,NA,NA,NA,48334834.63,3905669.96,43752362,11742244
1280,NA,NA,NA,NA,801099.77,621063.41,162372.31,1152684
1281,NA,NA,NA,NA,4736115,429615.84,4190877.14,704930
1282,NA,NA,NA,NA,10955690.74,1814403.47,8883933.06,2636499
1283,NA,NA,NA,NA,11679939.6,3332720.86,8260184.09,2769144
1284,NA,NA,NA,NA,4064691.72,950005.26,3086906.66,641581
1285,NA,NA,NA,NA,518798.92,331705.11,182722.6,86350
1286,NA,NA,NA,NA,2083481.55,147935.45,1935546.1,621569
1267,NA,NA,NA,NA,NA,NA,NA,2167204
1287,NA,NA,NA,NA,3704291.45,2689766.86,906909.42,3182052
1288,NA,NA,NA,NA,7734889.99,727111.27,6928401.83,1359545
1270,NA,NA,NA,NA,NA,NA,NA,319783
1289,NA,NA,NA,NA,785818.09,84066.71,685083.81,305977
1292,NA,NA,NA,NA,298105794.06,143602692.89,150485207.39,67665966
1293,NA,NA,NA,NA,19890308.77,8206956.08,11605641.68,4034816
1294,NA,NA,NA,NA,10347269.34,4079425.04,5840828.95,4277685
1295,NA,NA,NA,NA,38703382.74,17818465.28,20285139.28,9436261
1296,NA,NA,NA,NA,41182922.07,10759369.68,29436671.56,4413443
1297,NA,NA,NA,NA,3374929.57,413506.66,2970485.64,831368
1299,NA,NA,NA,NA,20544924.45,13046343.17,7178637.83,6074584
1300,NA,NA,NA,NA,34309695.49,16704381.41,17070710.07,3599288
1301,NA,NA,NA,NA,1968329.67,18254.17,1953360.86,7803
1302,NA,NA,NA,NA,1875868.51,590763.4,1224126.36,107462
1303,NA,NA,NA,NA,5462529.93,1195275.68,4267254.25,1061424
1305,NA,NA,NA,NA,594693.82,73108.21,521585.61,11345
1306,NA,NA,NA,NA,106261560.28,32644798.12,72246572.61,21423043
1307,NA,NA,NA,NA,1010652.61,397663.92,612988.69,111961
1308,NA,NA,NA,NA,920741.26,21376.49,880889.25,136145
1309,NA,NA,NA,NA,4844695.58,1257343.05,1891051.87,1847365
1310,NA,NA,NA,NA,4680340.29,1386231.25,3245139.39,250405
1311,NA,NA,NA,NA,36909135.59,26066940.79,10849669.36,5289650
1290,NA,NA,NA,NA,NA,NA,NA,200782
1291,NA,NA,NA,NA,NA,NA,NA,381636
1312,NA,NA,NA,NA,27368107.85,20690288.33,6631775.1,3453353
1241,NA,NA,NA,NA,NA,NA,NA,302741
5470,NA,NA,NA,NA,NA,NA,NA,0
5471,NA,NA,NA,NA,NA,NA,NA,0
1313,NA,NA,NA,NA,8726361.63,3164581.04,5580429.08,1311471
1314,NA,NA,NA,NA,2605294.29,1170005.58,1430613.75,405517
1298,NA,NA,NA,NA,NA,NA,NA,195648
1315,NA,NA,NA,NA,2043473.79,1256195.35,847752.31,662973
1316,NA,NA,NA,NA,10798817.35,6382892.52,4291133.67,1583458
1317,NA,NA,NA,NA,3394920.15,1502165.83,1892754.32,438084
1318,NA,NA,NA,NA,13588960.08,13193223.02,451699.92,1454376
1319,NA,NA,NA,NA,5134082.94,329668.71,4780114.36,1289906
1304,NA,NA,NA,NA,NA,NA,NA,10446
1320,NA,NA,NA,NA,2820111.53,245508.68,2514961.75,420140
1323,NA,NA,NA,NA,3773011.29,2434987.46,1282012.04,556864
1324,NA,NA,NA,NA,10907868.92,10902315.84,-40533.34,1613748
1325,NA,NA,NA,NA,1354522.51,1343225.92,NA,98973
1326,NA,NA,NA,NA,2191132.01,26462.73,2159308.27,333150
1327,NA,NA,NA,NA,619592.3,274870.5,335828.76,343409
1328,NA,NA,NA,NA,2551571.28,432319.67,2068700.53,888289
1256,NA,NA,NA,NA,NA,NA,NA,645473
1329,NA,NA,NA,NA,5652343.85,1460174.48,4205941.58,1557307
1330,NA,NA,NA,NA,1779885.95,156784.46,1615308.59,232618
1331,NA,NA,NA,NA,3700015.29,1268492.29,2364988.67,449273
1332,NA,NA,NA,NA,10905227.4,1145655.2,9726224.29,3154896
1333,NA,NA,NA,NA,11738303.73,3906085.02,7676010.71,4661056
1334,NA,NA,NA,NA,39700101.17,3878032.57,35024447.18,9520801
1335,NA,NA,NA,NA,31020492.12,4053927.92,26379603.98,2766765
1336,NA,NA,NA,NA,2474138.67,11080.45,2431124.77,304005
1321,NA,NA,NA,NA,NA,NA,NA,316618
1322,NA,NA,NA,NA,NA,NA,NA,305250
1337,NA,NA,NA,NA,4697327.57,2066492.47,2599444.42,782081
