"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","tribalRequest","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","lastRefresh","id"
"FM-2999-OK",2999,"OK","FM","2012-08-03",2012,"Fire","noble fire",0,0,1,0,"2012-08-03","2012-08-12","2015-09-30",0,"40","027",99027,"Cleveland (County)",12063,"2023-05-22","65685406-1de4-4d4c-8fa8-838dc25a76ac"
"FM-2997-OK",2997,"OK","FM","2012-07-30",2012,"Fire","fair grounds fire complex",0,0,1,0,"2012-07-30","2012-08-03","2015-09-23",0,"40","000",0,"Statewide",12060,"2023-05-22","513a94df-182e-46d9-b2af-c2d295ba1de6"
"FM-2996-SD",2996,"SD","FM","2012-07-20",2012,"Fire","myrtle fire",0,0,1,0,"2012-07-19","2012-07-23","2015-11-17",0,"46","033",99033,"Custer (County)",12056,"2023-05-22","9ad75368-a1d2-4ea9-b51b-c54a2ca7ce85"
"FM-2994-UT",2994,"UT","FM","2012-07-02",2012,"Fire","shingle fire",0,0,1,0,"2012-07-02","2012-07-09","2016-02-17",0,"49","025",99025,"Kane (County)",12051,"2023-05-22","ef335058-82ef-4d4b-8d9b-2cdfb7189fe2"
"FM-2991-UT",2991,"UT","FM","2012-06-29",2012,"Fire","rose crest fire",0,0,1,0,"2012-06-29","2012-06-30","2016-02-17",0,"49","035",99035,"Salt Lake (County)",12048,"2023-05-22","368cd249-1a5d-4d3d-bb4d-5cb1015106e5"
"FM-2990-UT",2990,"UT","FM","2012-06-27",2012,"Fire","clay springs fire",0,0,1,0,"2012-06-27","2012-07-07","2016-02-17",0,"49","027",99027,"Millard (County)",12041,"2023-05-22","c0370ec8-0720-4167-8ce3-e0806d5b8836"
"FM-2989-MT",2989,"MT","FM","2012-06-27",2012,"Fire","ash creek fire",0,0,1,0,"2012-06-25","2012-07-06","2016-12-19",0,"30","075",99075,"Powder River (County)",12040,"2023-05-22","6b764d28-7c41-4ef0-9c49-7c9878b22121"
"FM-2989-MT",2989,"MT","FM","2012-06-27",2012,"Fire","ash creek fire",0,0,1,0,"2012-06-25","2012-07-06","2016-12-19",0,"30","087",99087,"Rosebud (County)",12040,"2023-05-22","2fed612b-4d6a-454e-a59a-0bcdb77ef9c5"
"FM-2988-MT",2988,"MT","FM","2012-06-26",2012,"Fire","dahl fire",0,0,1,0,"2012-06-26","2012-07-02","2016-12-14",0,"30","065",99065,"Musselshell (County)",12036,"2023-05-22","50d7eed9-c1a4-4c93-b1ab-cec05e5f9183"
"FM-2987-MT",2987,"MT","FM","2012-06-26",2012,"Fire","corral fire",0,0,1,0,"2012-06-25","2012-06-29","2017-04-26",0,"30","049",99049,"Lewis and Clark (County)",12035,"2023-05-22","4f743263-5f7d-47e4-8fed-2733677a5799"
"FM-2986-UT",2986,"UT","FM","2012-06-24",2012,"Fire","wood hollow fire",0,0,1,0,"2012-06-24","2012-06-28","2016-06-07",0,"49","039",99039,"Sanpete (County)",12038,"2023-05-22","332f9e13-8cbb-4562-a8ae-bf5cad8dc2d5"
"FM-2985-CO",2985,"CO","FM","2012-06-24",2012,"Fire","weber fire",0,0,1,0,"2012-06-23","2012-07-06","2016-09-29",0,"08","083",99083,"Montezuma (County)",12034,"2023-05-22","9c386fb1-f56f-4e7c-93a3-ae7eb8868d97"
"FM-2984-CO",2984,"CO","FM","2012-06-24",2012,"Fire","waldo canyon fire",0,0,1,0,"2012-06-23","2012-07-08","2016-11-17",0,"08","041",99041,"El Paso (County)",12033,"2023-05-22","1a6440b8-9b1c-40fc-963e-a229a0de7f39"
"FM-2983-UT",2983,"UT","FM","2012-06-22",2012,"Fire","dump fire",0,0,1,0,"2012-06-22","2012-06-24","2016-12-16",0,"49","049",99049,"Utah (County)",12037,"2023-05-22","c5b4d476-255e-444f-9b9c-2a1b1150e154"
